shop_name,shop_adr
東京屋台,						東京都千代田区丸の内１-9-1 東京駅八重洲北口２Ｆ
ニルワナム　有明店,						東京都江東区有明３-5-7　ＴＯＣ有明3Ｆ
フォーNANA,						東京都国立市中１-10-5金水ビル4F
杏's　cafe,						東京都小平市花小金井１-3-14　カーサT102
モンスーンカフェ　Monsoon Cafe　お台場,						東京都港区台場１－7－１　アクアシティ内メディアージュ４F
チャーンタイ,						東京都墨田区錦糸４－１１－６　佐々木ビル１・２階
アジアン居酒屋ナマステさくら 幡ヶ谷店,						東京都渋谷区本町６丁目36-5
タイかぶれ食堂,						東京都北区赤羽２-1-19青柳エンパイヤビル２F
呑み喰い亭 あいねぇ～ 幡ヶ谷店,						東京都渋谷区西原２-２８-４宮嶋ビル１０５
KHANA KHAJA UENO（カナ・カジャ）インドアジア居酒屋 上野御徒町店,						東京都台東区上野６-１-6 グリーンハイツビル B1F
インディアンレストラン　ターズ,						東京都町田市木曽東２丁目２－１
アジアン屋台　チャオサイゴンパリバール　中野坂上,						東京都中野区本町２-54-13
スアンサワン,						東京都品川区東五反田４-10-9
あろいなたべた aroyna tabeta,						東京都千代田区内神田３-８-７　星座ビル２F
チャイヤイ,						東京都足立区千住２－１　コスモ北千住１０１
バーンキラオパラダイス,						東京都新宿区新宿２-15-15新宿ヤマトビルＢ１
Asian Cuisine A.O.C.麻布十番,						東京都港区麻布十番１-2-1　ボヌール麻生十番1Ｆ
ソウルフードバンコク 新大久保店,						東京都新宿区大久保２-32-23-1F
タイ国王認定レストラン　ペパーミントカフェ　吉祥寺店,						東京都武蔵野市吉祥寺南町１-15-14　グランメゾン吉祥寺B１Ｆ
Monsoon Cafe　（モンスーンカフェ）　G-Zone銀座店,						東京都中央区銀座１-2-3 G-Zone銀座（ジーゾーン）
リトル　ムンバイ,						東京都豊島区南大塚２-40-3
ランブータン 新宿店,						東京都新宿区新宿３-26-13 新宿中村屋ビル 7F
スパイシー＆ハーブ 居酒屋 フルバリ 亀戸,						東京都江東区亀戸９-6-19
アジアンタワン168　カレッタ汐留　,						東京都港区東新橋１-8-2 カレッタ汐留B2F
ZAIKA,						東京都板橋区徳丸３-1-18　粕谷電器ビル2F
バーンキラオ　国立店,						東京都国立市東１-6-2 Y'sVISION2F
Ｔｈａｉ　Ｆｏｏｄ　Ｃａｆｅ　シミラン,						東京都世田谷区玉川２－２１－１　ライズオークモール２Ｆ
cafe&studio　さるやすみ,						東京都台東区浅草橋１-5-8 LYビル1F
Bangkok Cafe Tokyo （バンコクカフェ東京）,						東京都江東区大島５-３３-８　メゾンアイエス１階
パラベッシュ,						東京都渋谷区笹塚２丁目２２-９
ソイ六本木,						東京都港区六本木３-３-６
アジアンビストロ Dai 東京ガーデンテラス店,						東京都千代田区紀尾井町1-2 紀尾井テラス2F
伽藍Bar,						東京都中央区銀座６-4-8 曽根ビルB2F
エスニックパーティー&ダイニングバー　SAPANA 赤坂店,						東京都千代田区永田町２-13-10　プルデンシャルタワー1F
チキンとワインと世界のビール Jharana～ジャラナ～ 渋谷店,						東京都目黒区青葉台２-1-1 ヴェルエ青葉台2階
TSUBAKI GARDEN　渋谷東口店,						東京都渋谷区東１-３-１　カミニート 4号
バンコク食堂　アロイチンチン,						東京都町田市原町田４－７－２
旅人食堂　立川店,						東京都立川市曙町２－１６－６
テラス＆ビアガーデン 肉バル アガリコ 新宿店,						東京都新宿区新宿３-9-9 1F
エスニックビストロ　Asiatique　（アジアティーク）　神楽坂店,						東京都文京区関口１-15-1　ミサオビル1F
多国籍居酒屋 リトル・ヒマラヤ,						東京都品川区東中延２-7-15 グレイスコート1F
マンゴツリーカフェ　上野,						東京都台東区上野７-1-1　アトレ上野 ２F 
モンスーンカフェ　Monsoon Cafe　表参道,						東京都港区北青山３-６-２６ 佐藤ビル １階
Masala Kitchen（マサラキッチン）,						東京都渋谷区広尾５-５－１　広尾いがらしビル　B１
